TX_ACCESSION	SYMBOL
ENST00000357836.5	HJV
ENST00000357836.5	HFE2
ENST00000357975.4	C1orf61
ENST00000357975.4	MIR9-1HG
ENST00000358105.7	CFAP299
ENST00000358105.7	C4orf22
ENST00000358295.9	TAFA5
ENST00000358295.9	FAM19A5
ENST00000358655.8	WARS
ENST00000358655.8	WARS1
ENST00000358739.4	H2AC13
ENST00000358739.4	HIST1H2AI
ENST00000358757.5	UBE2W
ENST00000358757.5	AC022826.2
ENST00000358944.8	RBMY1A1
ENST00000358944.8	RBMY1E
ENST00000359193.3	H2AC11
ENST00000359193.3	HIST1H2AG
ENST00000359201.6	AL365205.1
ENST00000359201.6	PRICKLE4
ENST00000359293.5	EOLA1
ENST00000359293.5	CXorf40A
ENST00000359303.3	HIST1H3J
ENST00000359303.3	H3C12
ENST00000359316.6	MTARC2
ENST00000359316.6	MARC2
ENST00000359374.8	ZNRD1
ENST00000359374.8	POLR1H
ENST00000359421.9	CIBAR1
ENST00000359421.9	FAM92A
ENST00000359611.3	HIST1H2AM
ENST00000359611.3	H2AC17
ENST00000359758.9	SPAG11B
ENST00000359758.9	SPAG11A
ENST00000359832.8	ATP5MF
ENST00000359832.8	ATP5J2
ENST00000359859.4	AC023490.3
ENST00000359859.4	AC023490.2
ENST00000359887.4	CTAG1A
ENST00000359887.4	CTAG1B
ENST00000360051.7	SEPTIN2
ENST00000360051.7	SEPT2
ENST00000360134.10	MAGED4B
ENST00000360134.10	MAGED4
ENST00000360156.11	SEPT6
ENST00000360156.11	SEPTIN6
ENST00000360167.4	MFRP
ENST00000360167.4	C1QTNF5
ENST00000360423.11	SULT1A4
ENST00000360423.11	SULT1A3
ENST00000360597.8	H2AFY
ENST00000360597.8	MACROH2A1
ENST00000360629.3	ARGLU1
ENST00000361111.6	SPAG11B
ENST00000361111.6	SPAG11A
ENST00000361229.8	BHLHB9
ENST00000361229.8	ARMCX5-GPRASP2
ENST00000361330.5	NXF5
ENST00000361433.6	IRAG2
ENST00000361433.6	LRMP
ENST00000361483.4	FAM109A
ENST00000361483.4	PHETA1
ENST00000361714.5	CCN6
ENST00000361714.5	WISP3
ENST00000361886.3	TAFA3
ENST00000361886.3	FAM19A3
ENST00000362019.7	METTL13
ENST00000362019.7	EEF1AKNMT
ENST00000362074.7	NOTCH2NL
ENST00000362074.7	NOTCH2NLA
ENST00000362091.8	FBXO18
ENST00000362091.8	FBH1
ENST00000362097.1	GAGE2C
ENST00000362097.1	GAGE2A
ENST00000366210.2	SEPTIN2
ENST00000366210.2	SEPT2
ENST00000366273.3	AL353625.1
ENST00000366273.3	CHP1P2
ENST00000366429.2	IHO1
ENST00000366429.2	CCDC36
ENST00000366492.1	OR2W5
ENST00000366492.1	OR2W5P
ENST00000366553.2	OPN3
ENST00000366553.2	CHML
ENST00000366695.3	H2AW
ENST00000366695.3	HIST3H2A
ENST00000366696.1	H3-4
ENST00000366696.1	HIST3H3
ENST00000366813.1	H3P6
ENST00000366813.1	H3F3A
ENST00000366814.3	H3F3A
ENST00000366814.3	H3-3A
ENST00000366816.5	H3P6
ENST00000366816.5	H3F3A
ENST00000366827.6	TCP10L3
ENST00000366827.6	TCP10
ENST00000366871.7	T
ENST00000366871.7	TBXT
ENST00000366876.6	T
ENST00000366876.6	TBXT
ENST00000367085.3	DYNLT1
ENST00000367088.1	DYNLT1
ENST00000367441.1	RO60
ENST00000367441.1	TROVE2
ENST00000367443.5	RO60
ENST00000367443.5	TROVE2
ENST00000367444.7	RO60
ENST00000367444.7	TROVE2
ENST00000367445.7	RO60
ENST00000367445.7	TROVE2
ENST00000367446.7	RO60
ENST00000367446.7	TROVE2
ENST00000367470.8	ODR4
ENST00000367470.8	C1orf27
ENST00000367666.5	COP1
ENST00000367666.5	RFWD2
ENST00000367667.5	COP1
ENST00000367667.5	RFWD2
ENST00000367737.9	METTL13
ENST00000367737.9	EEF1AKNMT
ENST00000367918.1	SLC18B1
ENST00000367932.3	AL512785.2
ENST00000367932.3	C1orf226
ENST00000368102.5	SNHG28
ENST00000368242.7	C1orf61
ENST00000368242.7	MIR9-1HG
ENST00000368405.7	SLC50A1
ENST00000368528.3	AC098614.1
ENST00000368528.3	AC098614.3
ENST00000368554.8	ZNF511-PRAP1
ENST00000368554.8	PRAP1
ENST00000368573.5	ZUFSP
ENST00000368573.5	ZUP1
ENST00000368664.7	CCN6
ENST00000368664.7	WISP3
ENST00000368666.6	CCN6
ENST00000368666.6	WISP3
ENST00000368730.5	TRAF3IP2
ENST00000368734.5	TRAF3IP2
ENST00000368895.2	AC073585.1
ENST00000368895.2	C10orf88B
ENST00000369155.3	H2BC21
ENST00000369155.3	HIST2H2BE
ENST00000369158.1	H3C14
ENST00000369158.1	HIST2H3C
ENST00000369159.2	HIST2H2AA3
ENST00000369159.2	H2AC19
ENST00000369163.3	H3C10
ENST00000369163.3	HIST1H3H
ENST00000369167.2	HIST2H2BF
ENST00000369167.2	H2BC18
ENST00000369309.5	PLEKHS1
ENST00000369387.4	H3P6
ENST00000369387.4	H3F3AP4
ENST00000369570.4	LINC01590
ENST00000369570.4	SMIM8
ENST00000369572.3	LINC01590
ENST00000369572.3	SMIM8
